ID,Item Code,UOM,Price List,Rate
,18mm O/S White Fine Finish 4ft x 8 ft +AC0- Ch,Nos,Standard Selling,19
,18MM Plain O/S White Fine Finish MDF+AC0-TH,Nos,Standard Selling,97
,6MM Plain O/S White Fine Finish MDF+AC0-TH,Nos,Standard Selling,16
,Decore MDF+AC0-New OAK 6mm,Nos,Standard Selling,179
,FR MDF 4 x 8 MM Thailand 6MM,Nos,Standard Selling,99
,FR MDF Board Commercial 4 x8 x12 MM TH,Nos,Standard Selling,49
,FR MDF Board Commercial 4 x 8 X18MM TH,Nos,Standard Selling,146
,FR MDF Board Commercial 4 x 8 x 18MM THf,Nos,Standard Selling,4
,FR MDF Board Commercial 4 x 8x 6MM TH,Nos,Standard Selling,61
,Gp Lam 1301 ASF 4 x 8 x  0.8MM,Nos,Standard Selling,77
,MDF 2.7MM ORD,Nos,Standard Selling,141
,MDF Board Commercial 4 x 8 x 12MM TH,Nos,Standard Selling,11
,MDF Board Commercial 4 x 8 x 15MM TH,Nos,Standard Selling,132
,MDF Board Commercial 4 x8 x 18MM IN,Nos,Standard Selling,142
,MDF Board Commercial 4 x 8 x 18MM Malysia,Nos,Standard Selling,40
,MDF Board Commercial 4 x 8 x 18MM TH,Nos,Standard Selling,188
,MDF Board Commercial 4 x 8 x 4mm IN,Nos,Standard Selling,143
,MDF Board Commercial 4 x 8 x 4MM TH,Nos,Standard Selling,86
,MDF Board Commercial 4 x 8 x 5.5MM TH,Nos,Standard Selling,19
,MDF Board Commercial 4 x 8 x 6MM TH,Nos,Standard Selling,111
,MDF Board Commercial 4 x 8 x 9 MM Malaysia,Nos,Standard Selling,197
,MDF Board Commercial 4 x 8 x 9 MM TH,Nos,Standard Selling,128
,MDF Board Commercial 6 x 12 x 12MM TH,Nos,Standard Selling,199
,MDF Board Commercial 6 x 12 x 18MM TH,Nos,Standard Selling,100
,MDF Boarded Commercial 4 x 8 x 2.7MM IN,Nos,Standard Selling,164
,MDF Boarded Commercial 4 x 8 x 2.7MM TH,Nos,Standard Selling,144
,MDF Boarded Commercial 4 x 8 x 2.7MM THs,Nos,Standard Selling,150
,MDF BOARD FIBRE 4 x 8 x 3 MM,Nos,Standard Selling,131
,MDF MLM BS 4x8x12MM Black TH,Nos,Standard Selling,128
,MDF MLM BS 4x8x18MM Grey 5002 JS,Nos,Standard Selling,62
,MDF MLM B/S 4x8x18MM White TH,Nos,Standard Selling,73
,MDF MLM BS 4x8x6MM White TH,Nos,Standard Selling,98
,MDF MLM OS 4 x 8 6MM White TH,Nos,Standard Selling,126
,MDF MLM OS 4 x 8 x 12MM HMR White JS,Nos,Standard Selling,36
,MDF MLM O/S 4x8x18MM HMR White TH,Nos,Standard Selling,131
,MDF MLM O/S 4x8x18MM White TH,Nos,Standard Selling,75
,MDF MR Board Commercial 4x 8 x 12MM TH,Nos,Standard Selling,161
,MDF MR Board Commercial4 x 8 x 18MM Malaysia,Nos,Standard Selling,155
,MDF MR Board Commercial4 x 8 x 18MM TH,Nos,Standard Selling,18
,MDF MR Board Commercial 4x 8 x 6MM TH,Nos,Standard Selling,128
,MDF MR Board Commercial 4x 8 x 9MM TH,Nos,Standard Selling,144
,MDF MR Board Commercial 6x 12 x 12MM TH,Nos,Standard Selling,4
,MDF MR Board Commercial 6 x 12 x 18MM TH,Nos,Standard Selling,107
,MDF MR Board Commercial 6x12x9MM TH,Nos,Standard Selling,53
,MDFMR MLM O/S Black Fine Finish 4 x 8 12MM,Nos,Standard Selling,170
,MDF MR O/S White Fine Finish 18MM TH,Nos,Standard Selling,103
,MDF MR O/S White Texture 18MM TH,Nos,Standard Selling,188
,MDF Plain E1 Grade 4 x 8 x 12MM,Nos,Standard Selling,22
